2023-09-07 13:59:09,383 INFO    StreamThr :12388 [internal.py:wandb_internal():86] W&B internal server running at pid: 12388, started at: 2023-09-07 13:59:09.382976
2023-09-07 13:59:09,384 DEBUG   HandlerThread:12388 [handler.py:handle_request():144] handle_request: status
2023-09-07 13:59:09,389 INFO    WriterThread:12388 [datastore.py:open_for_write():85] open: /home/jisukim/LLMscience/llm/shell/wandb/run-20230907_135909-79d2vv1j/run-79d2vv1j.wandb
2023-09-07 13:59:09,389 DEBUG   SenderThread:12388 [sender.py:send():379] send: header
2023-09-07 13:59:09,415 DEBUG   SenderThread:12388 [sender.py:send():379] send: run
2023-09-07 13:59:10,118 INFO    SenderThread:12388 [dir_watcher.py:__init__():211] watching files in: /home/jisukim/LLMscience/llm/shell/wandb/run-20230907_135909-79d2vv1j/files
2023-09-07 13:59:10,118 INFO    SenderThread:12388 [sender.py:_start_run_threads():1121] run started: 79d2vv1j with start time 1694062749.383558
2023-09-07 13:59:10,119 DEBUG   SenderThread:12388 [sender.py:send_request():406] send_request: summary_record
2023-09-07 13:59:10,119 INFO    SenderThread:12388 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-09-07 13:59:10,129 DEBUG   HandlerThread:12388 [handler.py:handle_request():144] handle_request: check_version
2023-09-07 13:59:10,130 DEBUG   SenderThread:12388 [sender.py:send_request():406] send_request: check_version
2023-09-07 13:59:10,183 DEBUG   HandlerThread:12388 [handler.py:handle_request():144] handle_request: run_start
2023-09-07 13:59:10,191 DEBUG   HandlerThread:12388 [system_info.py:__init__():31] System info init
2023-09-07 13:59:10,191 DEBUG   HandlerThread:12388 [system_info.py:__init__():46] System info init done
2023-09-07 13:59:10,192 INFO    HandlerThread:12388 [system_monitor.py:start():181] Starting system monitor
2023-09-07 13:59:10,192 INFO    SystemMonitor:12388 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-07 13:59:10,192 INFO    HandlerThread:12388 [system_monitor.py:probe():201] Collecting system info
2023-09-07 13:59:10,193 INFO    SystemMonitor:12388 [interfaces.py:start():190] Started cpu monitoring
2023-09-07 13:59:10,193 INFO    SystemMonitor:12388 [interfaces.py:start():190] Started disk monitoring
2023-09-07 13:59:10,194 INFO    SystemMonitor:12388 [interfaces.py:start():190] Started gpu monitoring
2023-09-07 13:59:10,194 INFO    SystemMonitor:12388 [interfaces.py:start():190] Started memory monitoring
2023-09-07 13:59:10,195 INFO    SystemMonitor:12388 [interfaces.py:start():190] Started network monitoring
2023-09-07 13:59:10,234 DEBUG   HandlerThread:12388 [system_info.py:probe():195] Probing system
2023-09-07 13:59:10,235 DEBUG   HandlerThread:12388 [system_info.py:_probe_git():180] Probing git
2023-09-07 13:59:10,250 DEBUG   HandlerThread:12388 [system_info.py:_probe_git():188] Probing git done
2023-09-07 13:59:10,250 DEBUG   HandlerThread:12388 [system_info.py:probe():240] Probing system done
